Token	Repeticiones	#Documentos
499	1	1
340377	1	1
395936	1	1
4851	1	1
223600	1	1
64356	1	1
243221	1	1
357552	1	1
218662	1	1
69384	1	1
186832	1	1
12679	1	1
78973	1	1
154389	1	1
8163	1	1
57922	1	1
36756	1	1
204887	1	1
153053	1	1
83788	1	1
8661	1	1
1253136	1	1
3024635	1	1
190808	1	1
97943	1	1
81559	1	1
1569053	1	1
378697	1	1
149061	1	1
71632	1	1
203351	1	1
16834	1	1
34166	1	1
1708911	1	1
99358	1	1
65935	1	1
44274	1	1
11346	3	3
10014	1	1
508453	1	1
252872	1	1
46046	1	1
467286	1	1
61292	1	1
39049	2	1
70945	1	1
127754	1	1
274749	1	1
5864344	1	1
77453	1	1
53088	1	1
44983	1	1
348599	1	1
241859	1	1
635545	1	1
210334	1	1
1261671	1	1
55988	1	1
30530	1	1
75131	1	1
217771	1	1
114129	1	1
87397	1	1
53451	1	1
87885	1	1
60018	1	1
10287	1	1
787597	1	1
96184	1	1
72201	1	1
725847	1	1
133447	1	1
24418	1	1
68182	1	1
120889	1	1
170978	1	1
240688	1	1
192946	1	1
74257	1	1
2765662	1	1
43939	1	1
452487	1	1
15601	1	1
62668	1	1
531001	1	1
169048	1	1
615461	1	1
50396	1	1
106162	1	1
774240	1	1
657889	1	1
200039	1	1
12132	1	1
125303	1	1
1926375	1	1
260619	1	1
4423188	1	1
88035	1	1
194838	1	1
128343	1	1
838045	1	1
1342941	1	1
232276	1	1
36010	1	1
93207	1	1
46466	1	1
126816	1	1
4221	1	1
33443	2	2
28454	1	1
11691	1	1
538569	1	1
36116	1	1
23438	1	1
160131	1	1
73976	1	1
24450	1	1
36031	1	1
150792	1	1
476990	1	1
116172	1	1
1384779	1	1
50196	1	1
23189	1	1
42992	1	1
36000	1	1
166254	1	1
89059	1	1
52798	3	2
484464	1	1
743271	1	1
388443	1	1
19839	1	1
35662	1	1
148844	1	1
46885	1	1
87201	4	2
18011	1	1
47027	1	1
165310	1	1
111999	1	1
1027358	1	1
473294	1	1
515203	1	1
33450	1	1
52351	1	1
122778	1	1
104377	1	1
25945	5	2
346122	1	1
57034	1	1
7444	1	1
84063	1	1
63191	1	1
101647	1	1
85557	1	1
48225	1	1
20922	4	2
512387	1	1
133519	1	1
65871	1	1
44306	2	1
83214	1	1
13939	1	1
777200	1	1
128392	1	1
318279	1	1
58466	1	1
81677	1	1
91876	1	1
1126717	1	1
38474	1	1
55603	2	1
29887	1	1
24473	2	1
70950	1	1
10616	3	2
81092	1	1
47009	1	1
12658	3	1
2972099	1	1
103414	1	1
459684	1	1
43638	1	1
33889	1	1
450318	1	1
89634	1	1
50729	1	1
303923	1	1
130188	1	1
49832	1	1
41160	1	1
46275	1	1
1441294	1	1
66519	1	1
214913	1	1
162978	1	1
91957	1	1
60943	1	1
70222	1	1
94678	1	1
91860	2	1
65369	1	1
82872	1	1
305366	1	1
21404	1	1
63156	1	1
7675	1	1
141172	1	1
150432	1	1
229187	1	1
918860	1	1
1189422	1	1
86439	1	1
273304	1	1
150957	1	1
27664	1	1
97918	1	1
386633	1	1
105474	1	1
248663	1	1
93033	1	1
307247	1	1
11496	1	1
47661	1	1
83775	1	1
959601	1	1
11616	1	1
608238	1	1
180775	1	1
533933	1	1
237837	1	1
329962	1	1
65547	1	1
62730	1	1
11636	1	1
1270	1	1
24870	2	2
80871	2	2
72706	1	1
193253	1	1
31508	1	1
272316	1	1
147817	1	1
206650	1	1
57453	1	1
537389	1	1
61542	1	1
643662	1	1
9941	1	1
159110	1	1
136247	1	1
7696	1	1
468521	1	1
61672	2	2
15896	8	3
899765	1	1
61178	1	1
85376	1	1
111305	1	1
327342	1	1
196610	1	1
90767	1	1
21244	2	2
171076	1	1
69420	2	1
450941	1	1
191078	1	1
99792	1	1
33813	1	1
171556	1	1
63680	2	2
291351	1	1
64426	1	1
63121	2	1
259037	1	1
39114	1	1
41430	1	1
851624	1	1
154650	1	1
72112	1	1
21606	1	1
65400	3	2
7434568	1	1
1169	1	1
31122	1	1
301851	1	1
260273	1	1
2599620	1	1
70262	2	2
157003	1	1
124492	1	1
96217	1	1
36775	1	1
356202	1	1
57973	1	1
40332	2	2
15903	1	1
40076	1	1
127079	1	1
70477	1	1
59514	2	2
22705	1	1
59355	1	1
205896	1	1
117474	1	1
66403	2	1
106075	1	1
83619	1	1
74178	1	1
26560	1	1
415909	1	1
105495	1	1
6711	1	1
265939	1	1
31602	1	1
81458	1	1
209026	1	1
395625	1	1
740853	1	1
66523	1	1
110900	1	1
90915	1	1
160414	1	1
523699	1	1
512862	1	1
55830	1	1
63296	1	1
39039	1	1
48194	1	1
258434	1	1
20788	1	1
36557	1	1
29844	1	1
316234	1	1
68348	1	1
122601	1	1
947001	1	1
797909	1	1
60215	2	1
31557	1	1
97643	1	1
925030	1	1
122024	1	1
5358	1	1
91658	1	1
60859	2	1
198704	1	1
830865	1	1
31131	1	1
120467	1	1
32808	1	1
333378	1	1
39739	1	1
246845	1	1
571756	1	1
167427	1	1
11680	1	1
39249	1	1
226432	1	1
60176	1	1
1415361	1	1
209211	2	2
731055	1	1
79392	1	1
30777	1	1
69585	1	1
95688	1	1
111573	1	1
598796	1	1
389876	1	1
231760	1	1
161690	1	1
4149482	1	1
165369	1	1
30210	1	1
199387	1	1
61501	1	1
165157	1	1
217036	1	1
69636	1	1
695245	1	1
1613	4	1
21071	1	1
18375	1	1
50862	1	1
751	2	2
95530	1	1
74687	1	1
311735	1	1
75994	1	1
24020	1	1
29935	1	1
28982	1	1
277361	1	1
61746	1	1
357186	1	1
87092	1	1
22268	1	1
237949	1	1
148886	1	1
190051	1	1
21824	1	1
151993	1	1
820267	1	1
403634	1	1
37274	1	1
56751	1	1
337005	1	1
50243	2	2
195592	1	1
46966	1	1
26079	2	2
208905	1	1
3055289	1	1
99081	1	1
20499	1	1
431235	1	1
46327	1	1
52294	1	1
26290	1	1
84034	1	1
211374	1	1
58694	1	1
79509	1	1
46880	2	2
272066	1	1
501860	1	1
433306	1	1
404179	1	1
109084	1	1
521691	1	1
28716	1	1
267999	1	1
9074	1	1
53596	1	1
20620	1	1
3672799	1	1
167391	1	1
151764	1	1
78272	1	1
50381	1	1
11007	5	3
256801	1	1
11146	1	1
60882	1	1
186743	1	1
114744	1	1
29492	2	2
750348	1	1
88384	1	1
630546	1	1
1224837	1	1
4107	1	1
32540	1	1
227635	1	1
6952	1	1
44624	1	1
51391	1	1
13635	2	2
2076946	1	1
170771	1	1
118983	1	1
122473	1	1
61968	1	1
89054	1	1
198775	1	1
37152	1	1
45249	1	1
209264	1	1
84877	2	1
75721	1	1
18339	1	1
49385	1	1
68436	2	2
142124	1	1
284106	1	1
10638	1	1
6795	1	1
9321	1	1
34518	1	1
363967	1	1
15980	2	2
389609	1	1
51469	1	1
12496	1	1
60917	1	1
470858	1	1
771859	1	1
97669	1	1
2565512	1	1
216090	1	1
185199	1	1
33953	1	1
65556	1	1
1023263	1	1
2443585	1	1
25214	1	1
65125	1	1
18142	1	1
1747222	1	1
181990	2	2
1074808	1	1
117651	1	1
143941	1	1
354256	1	1
48710	1	1
59800	1	1
126921	1	1
719208	1	1
58709	1	1
16103	1	1
99972	1	1
167982	1	1
42332	1	1
70965	1	1
350919	1	1
30343	1	1
1278	1	1
119688	1	1
136063	1	1
9244	1	1
61014	2	2
16738	1	1
8789	1	1
127826	1	1
1052516	1	1
182579	1	1
132929	1	1
505624	1	1
53218	1	1
134140	1	1
221071	1	1
32439	1	1
286939	1	1
18417	1	1
7454	1	1
57239	1	1
30590	1	1
447312	1	1
691462	1	1
37348	1	1
99155	1	1
16062	4	2
194220	1	1
280002	1	1
60912	2	1
105237	1	1
72360	1	1
857639	1	1
6572	1	1
48431	1	1
1198083	1	1
20942	1	1
44211	1	1
81333	1	1
441867	1	1
33163	1	1
29168	1	1
13953	1	1
66931	1	1
7487	1	1
214508	1	1
2517	1	1
22163	2	2
21906	1	1
63295	1	1
6772	3	1
38982	7	3
155466	1	1
271307	1	1
50370	1	1
38255	1	1
1100565	1	1
3790	1	1
2795	1	1
755516	1	1
83905	1	1
20797	1	1
159097	1	1
43686	1	1
929418	1	1
503930	1	1
97428	1	1
36052	1	1
47999	1	1
108987	1	1
125996	1	1
14559	1	1
75743	1	1
292024	1	1
368862	1	1
61749	1	1
18900	1	1
53053	1	1
73139	1	1
3608522	1	1
48960	1	1
456393	1	1
44566	1	1
266149	1	1
31488	1	1
19740	1	1
67484	1	1
7478	1	1
58768	1	1
45002	1	1
143573	1	1
1879	1	1
41031	1	1
5353	2	2
1112860	1	1
86374	1	1
24763	1	1
1614174	1	1
1015781	1	1
38915	1	1
50841	1	1
6541	1	1
518822	1	1
166294	1	1
1430380	1	1
23185	2	2
42280	1	1
76784	1	1
13464	2	2
4004	2	2
60415	1	1
20337	2	2
27239	1	1
21875	1	1
23432	1	1
44678	1	1
21764	1	1
76395	1	1
28390	1	1
67117	1	1
169244	1	1
30228	1	1
36981	1	1
93005	1	1
55539	1	1
17468	1	1
13011	2	1
164178	1	1
17229	1	1
29624	1	1
83884	1	1
124416	1	1
80267	1	1
21724	3	2
67076	1	1
168973	1	1
32088	1	1
147423	1	1
24675	1	1
172795	1	1
247082	1	1
1348446	1	1
33814	1	1
72757	1	1
99699	1	1
69314	1	1
73909	2	1
123358	1	1
149768	1	1
238261	1	1
115874	1	1
91424	1	1
175164	1	1
53674	1	1
9583	1	1
3119	1	1
335008	1	1
846285	1	1
432409	1	1
309900	1	1
1092471	1	1
90909	1	1
662676	1	1
43974	1	1
671757	1	1
314219	1	1
62104	1	1
658811	1	1
1832172	1	1
18962	1	1
238620	1	1
1627119	1	1
116482	1	1
300366	1	1
447701	1	1
577493	1	1
797101	1	1
352761	1	1
2113422	1	1
121979	1	1
86627	1	1
64521	1	1
802241	1	1
466733	1	1
6006727	1	1
1380	1	1
723016	1	1
1370504	1	1
171896	1	1
26630	1	1
56431	1	1
315588	1	1
489364	1	1
59072	1	1
338201	1	1
343247	1	1
107779	2	2
20411	1	1
103417	1	1
27566	1	1
129278	1	1
223554	1	1
9576	1	1
7798	1	1
13457	1	1
170125	1	1
15313	1	1
208982	1	1
65522	1	1
72901	1	1
11661	1	1
24439	1	1
3781	1	1
233026	1	1
364575	1	1
2844057	1	1
351554	1	1
106352	1	1
382259	1	1
16659	1	1
2166	1	1
1166112	1	1
177634	1	1
169613	1	1
200927	1	1
27940	1	1
336196	1	1
41538	1	1
44498	1	1
14194	5	2
22728	1	1
176610	1	1
250157	1	1
300426	1	1
453455	1	1
140165	1	1
35441	1	1
385881	1	1
480967	1	1
59138	1	1
552703	1	1
214309	1	1
852691	1	1
24863	1	1
76977	1	1
50251	2	2
223590	1	1
300219	1	1
71423	1	1
42836	2	2
102393	1	1
1042582	1	1
46504	1	1
90256	1	1
272098	1	1
30880	1	1
4070135	1	1
220032	1	1
70489	1	1
204970	1	1
146957	1	1
174881	1	1
149968	1	1
194940	1	1
486854	1	1
127816	2	2
1118593	1	1
64181	1	1
803924	1	1
170686	1	1
403610	1	1
33433	1	1
116125	1	1
25074	1	1
439928	1	1
134171	1	1
23588	1	1
375675	1	1
91803	1	1
204331	1	1
24452	1	1
251888	1	1
169247	1	1
29843	1	1
88680	1	1
121931	1	1
75767	1	1
41294	1	1
2793182	1	1
78796	1	1
135114	1	1
19559	1	1
216562	1	1
94058	1	1
262650	1	1
1476891	1	1
528980	1	1
2106865	1	1
345221	1	1
72904	1	1
471135	1	1
104556	1	1
14643	2	2
191823	1	1
97064	1	1
399504	1	1
79344	2	2
254055	1	1
43713	2	2
41561	1	1
1447997	1	1
889084	1	1
3781933	1	1
741	1	1
492194	1	1
2873638	1	1
40454	1	1
973842	1	1
5830	2	2
2826311	1	1
20791	1	1
24975	1	1
168284	1	1
15763	2	2
40790	1	1
22655	2	2
154518	1	1
60078	1	1
12569	1	1
107799	1	1
58261	1	1
11455	1	1
56561	1	1
190671	1	1
4219	1	1
345145	1	1
25009	1	1
8573	1	1
22687	1	1
327758	1	1
127260	2	1
128604	2	2
24860	1	1
23586	2	2
318893	1	1
87641	1	1
111549	1	1
4556	4	2
191400	1	1
36760	1	1
216481	1	1
71812	1	1
48585	1	1
88955	1	1
25667	1	1
69989	1	1
154434	1	1
19602	1	1
114977	1	1
47734	2	2
514991	1	1
88781	1	1
40274	1	1
32724	1	1
73865	1	1
20718	1	1
77054	1	1
44109	1	1
101320	1	1
1410567	1	1
71117	1	1
49929	1	1
291941	1	1
99642	2	2
1435892	1	1
36814	1	1
182910	1	1
163103	1	1
151749	1	1
103746	1	1
32101	2	2
20570	1	1
135627	1	1
34549	2	1
29848	1	1
9093	1	1
77245	1	1
282948	1	1
128786	1	1
14169	1	1
162857	1	1
69756	1	1
1359953	1	1
124550	1	1
782118	1	1
95511	1	1
26038	1	1
40938	1	1
69241	2	2
27714	1	1
49025	1	1
80554	1	1
116803	1	1
18883	1	1
48092	2	1
41862	3	2
1375295	1	1
43056	1	1
136240	1	1
3340	1	1
198730	1	1
27720	1	1
263594	1	1
33960	2	2
82402	1	1
2152778	1	1
1403977	1	1
142023	1	1
244295	1	1
222707	1	1
72519	1	1
3232539	1	1
927	1	1
16822	1	1
52063	1	1
106698	1	1
129241	1	1
1519410	1	1
5198652	1	1
176864	1	1
807990	1	1
3868721	1	1
25487	1	1
4963	1	1
192024	1	1
183747	1	1
457829	1	1
56196	1	1
38710	1	1
276349	1	1
1498756	1	1
15470	1	1
149682	1	1
77432	1	1
591738	1	1
143141	1	1
31397	1	1
30591	1	1
761925	1	1
156707	1	1
221120	1	1
135577	1	1
105307	1	1
14174	1	1
406841	1	1
323316	1	1
30393	1	1
1305426	1	1
21978	1	1
66945	1	1
36826	1	1
118223	1	1
384562	1	1
79525	1	1
30513	2	2
52730	1	1
498790	1	1
2602139	1	1
1656016	1	1
53481	1	1
305026	1	1
1748675	1	1
102190	1	1
32761	1	1
1363158	1	1
69942	1	1
1885470	1	1
205638	1	1
937724	1	1
24309	1	1
57065	1	1
1325	1	1
20709	1	1
241603	1	1
119765	1	1
26533	1	1
52634	1	1
261253	1	1
69076	1	1
78535	1	1
484294	1	1
208983	1	1
225515	1	1
5439612	1	1
388798	1	1
172536	1	1
165589	1	1
135166	1	1
5609	1	1
143100	1	1
10695	1	1
14543	1	1
225047	1	1
360482	1	1
8742	1	1
20610	1	1
26439	2	2
78356	2	1
100698	1	1
324735	1	1
480741	1	1
38714	2	2
138822	1	1
212917	1	1
47504	1	1
165435	1	1
688090	1	1
262522	1	1
214368	1	1
671504	1	1
55502	2	2
1503219	1	1
40662	1	1
99045	1	1
123389	1	1
1466185	1	1
27268	1	1
92163	1	1
186821	1	1
142504	1	1
3258	1	1
12915	1	1
25683	2	1
255613	1	1
110993	1	1
112627	1	1
207287	1	1
48600	1	1
69111	1	1
68617	1	1
58851	1	1
26577	1	1
373916	1	1
1447195	1	1
538312	1	1
35028	1	1
25992	1	1
21807	1	1
297346	1	1
447481	1	1
631802	1	1
175058	1	1
644428	1	1
130496	1	1
390135	1	1
695419	1	1
614988	1	1
36861	1	1
88789	1	1
256371	1	1
283162	1	1
181376	1	1
97513	1	1
36335	1	1
18389	1	1
279810	1	1
416841	1	1
732856	1	1
75194	1	1
2685	1	1
6849	1	1
145578	1	1
5470	1	1
293364	1	1
26211	1	1
68159	1	1
93628	2	2
152007	1	1
59075	2	1
61466	1	1
470902	1	1
1452666	1	1
1571092	1	1
328287	1	1
558440	1	1
44768	1	1
2011	1	1
385596	1	1
213743	2	2
732751	1	1
875603	1	1
284313	1	1
1201182	1	1
373627	1	1
83019	1	1
454925	1	1
2637218	1	1
78653	1	1
236111	1	1
73327	1	1
50768	1	1
71552	1	1
1022383	1	1
333786	1	1
349774	1	1
624764	1	1
1246086	1	1
212715	1	1
18898	1	1
9703918	1	1
945	1	1
374652	1	1
103155	1	1
5401423	1	1
1222	1	1
168953	2	2
3009233	1	1
635	1	1
66326	1	1
125526	1	1
387467	1	1
104092	1	1
99171	1	1
42321	1	1
10425	1	1
543448	1	1
200518	1	1
92887	1	1
141212	1	1
632982	1	1
375033	1	1
13968	1	1
86883	1	1
52108	1	1
199831	1	1
103955	1	1
46240	1	1
67132	1	1
64187	1	1
22856	1	1
51583	1	1
99543	1	1
42243	1	1
87349	1	1
36124	1	1
101904	1	1
54799	2	2
120859	1	1
128031	1	1
33014	1	1
852925	1	1
452372	1	1
55664	1	1
22506	1	1
16095	1	1
35913	1	1
403377	1	1
1929649	1	1
147485	1	1
286381	2	2
483807	1	1
975353	1	1
254910	1	1
1068347	1	1
1094424	1	1
14637	1	1
13083	1	1
66342	1	1
81520	1	1
1677452	1	1
3889733	1	1
377566	1	1
5193	3	3
2047950	1	1
731169	1	1
367745	1	1
433260	1	1
1255521	1	1
217652	1	1
22859	1	1
760756	1	1
32013	1	1
88628	1	1
83344	1	1
184627	1	1
100498	1	1
11178	4	3
471606	1	1
71491	1	1
95265	1	1
316951	1	1
453384	1	1
175506	1	1
518354	1	1
693577	1	1
355782	1	1
266914	1	1
369305	1	1
137118	1	1
1105	1	1
351359	1	1
247224	1	1
25289	1	1
19404	2	2
1489110	1	1
100281	1	1
452078	1	1
9017	1	1
594417	1	1
12822	2	2
148017	1	1
597985	1	1
409651	1	1
390526	1	1
589715	1	1
300881	1	1
204560	1	1
155752	1	1
47854	1	1
72470	1	1
92081	1	1
72851	1	1
3465826	1	1
1489472	1	1
211543	1	1
5579	1	1
997624	1	1
86128	1	1
25926	3	2
17140	2	2
49661	1	1
236155	1	1
2103596	1	1
697521	1	1
172990	1	1
192370	1	1
240105	1	1
337757	1	1
989434	1	1
1262121	1	1
139014	1	1
2370949	1	1
66054	1	1
2103752	1	1
1069969	1	1
1071903	1	1
308163	1	1
46176	1	1
3494053	1	1
494	1	1
309697	1	1
258595	1	1
79699	1	1
997013	1	1
186592	1	1
421731	1	1
691911	1	1
356830	1	1
155522	1	1
404781	1	1
176596	1	1
181086	1	1
478114	1	1
170335	1	1
71942	1	1
26647	1	1
1502484	1	1
3809414	1	1
21837	2	2
42857	1	1
220370	1	1
109263	1	1
83993	1	1
175646	1	1
525694	1	1
595979	1	1
200151	1	1
1929799	1	1
88201	1	1
3934768	1	1
2054282	1	1
449005	1	1
5788152	1	1
1238	1	1
1146663	1	1
682248	1	1
65248	1	1
42559	1	1
332458	1	1
442518	1	1
99894	1	1
48693	1	1
511627	1	1
11981	6	3
1593641	1	1
523	1	1
47682	1	1
17512	1	1
205998	1	1
279171	1	1
45085	1	1
33895	1	1
77574	1	1
1109409	1	1
500802	1	1
481367	1	1
294749	1	1
44739	1	1
54319	1	1
429580	1	1
82518	1	1
174284	1	1
70504	1	1
156200	1	1
991858	1	1
231946	1	1
5044447	1	1
152586	1	1
753876	1	1
412838	1	1
187929	1	1
155489	1	1
220456	1	1
25987	1	1
165850	1	1
417326	1	1
301171	1	1
328341	1	1
133174	1	1
504585	1	1
272912	1	1
2462857	1	1
42252	1	1
5611	1	1
64578	1	1
110838	1	1
395466	1	1
855490	1	1
3413144	1	1
708	1	1
312031	1	1
62657	1	1
164171	1	1
143432	1	1
37025	1	1
618269	1	1
33883	1	1
144925	1	1
575647	1	1
77279	1	1
149767	1	1
171300	1	1
206816	1	1
187693	1	1
8014953	1	1
1547	1	1
2175292	1	1
189564	1	1
168407	1	1
1165797	1	1
89852	2	2
195402	1	1
882329	1	1
1200323	1	1
546192	1	1
24470	1	1
132283	1	1
7638	1	1
93958	1	1
42442	1	1
399240	1	1
628406	1	1
1018805	1	1
1013261	1	1
395156	1	1
3852871	1	1
159323	1	1
1429924	1	1
726057	1	1
166302	1	1
5045593	1	1
1742001	1	1
363	1	1
10470	1	1
4478428	1	1
861	1	1
649654	1	1
109674	1	1
382208	1	1
35455	1	1
19979	1	1
28900	1	1
98069	1	1
915703	1	1
766797	1	1
93777	1	1
2052527	1	1
733228	1	1
96867	1	1
129395	1	1
1126865	1	1
390147	1	1
357896	1	1
121195	1	1
110776	1	1
224492	1	1
156562	1	1
2249018	1	1
166776	1	1
647900	1	1
73249	1	1
104971	1	1
192175	1	1
102149	1	1
8203	1	1
175517	1	1
20107	1	1
775249	1	1
332937	1	1
33174	1	1
313364	1	1
202201	1	1
196511	1	1
132090	1	1
428822	1	1
380266	1	1
4813507	1	1
953	1	1
57254	1	1
1268478	1	1
136188	1	1
997528	1	1
456505	1	1
97599	1	1
185370	1	1
290831	1	1
804172	1	1
2953	2	2
2587	1	1
920572	1	1
269985	1	1
359932	1	1
905112	1	1
36042	1	1
406049	1	1
719227	1	1
511260	1	1
331669	1	1
329270	1	1
738320	1	1
272361	1	1
497399	1	1
3118376	1	1
389282	1	1
116887	1	1
589745	1	1
247974	1	1
4678701	1	1
427525	1	1
219924	1	1
106629	1	1
654003	1	1
174082	1	1
296399	1	1
618997	1	1
40267	1	1
8441114	1	1
812	1	1
38923	1	1
58083	1	1
816281	1	1
156003	1	1
603934	1	1
572029	1	1
278453	1	1
307902	1	1
379864	1	1
88087	1	1
889408	1	1
4258	1	1
1189801	1	1
395233	1	1
7741	2	2
71306	1	1
93333	1	1
339762	1	1
973803	1	1
658877	1	1
329058	1	1
219734	1	1
19031382	1	1
342907	1	1
4792904	1	1
528	2	2
234014	1	1
21416	2	2
1023453	1	1
32715	1	1
1472698	1	1
51858	1	1
482021	1	1
52647	1	1
50890	1	1
1824146	1	1
356531	1	1
5394939	1	1
45700	3	2
19528	1	1
36663	1	1
80973	1	1
311722	1	1
48743	1	1
43411	1	1
92250	1	1
95356	1	1
182564	1	1
23332	1	1
192259	1	1
796440	1	1
99722	1	1
177146	1	1
281298	1	1
365140	1	1
192964	2	2
4265438	1	1
509508	1	1
1864534	1	1
359	1	1
193208	1	1
335639	1	1
17050	1	1
520037	1	1
314594	1	1
38364	1	1
455498	1	1
98070	1	1
398995	1	1
452406	1	1
100191	1	1
38051	1	1
105051	1	1
17371	1	1
141663	1	1
256597	1	1
404619	1	1
411889	1	1
67631	1	1
95304	1	1
81807	2	2
36406	1	1
130164	1	1
203427	1	1
296058	1	1
20818	1	1
154691	1	1
201419	1	1
381628	1	1
219663	1	1
491198	1	1
587478	1	1
391470	1	1
694098	1	1
75404	1	1
172715	1	1
183096	1	1
113104	1	1
19144	1	1
26677	2	2
55900	1	1
154228	1	1
2196	1	1
602742	1	1
267229	1	1
885376	1	1
222426	1	1
251440	1	1
153247	1	1
242308	1	1
227597	1	1
935904	1	1
533774	1	1
95853	1	1
376862	1	1
1205739	1	1
95875	1	1
6869	1	1
449993	1	1
1105202	1	1
1320472	1	1
981776	1	1
51656	1	1
856152	1	1
32996	1	1
108085	1	1
2324855	1	1
197372	1	1
405625	1	1
174600	1	1
20007	1	1
402682	1	1
929025	1	1
200731	1	1
3703632	1	1
2076486	1	1
1435002	1	1
973514	1	1
58974	1	1
644319	1	1
21997	1	1
695756	1	1
3694	2	2
3747126	1	1
148457	1	1
44336	1	1
29578	1	1
146251	1	1
113499	1	1
56251	1	1
876881	1	1
42306	1	1
2240	1	1
81570	1	1
137376	1	1
24776	1	1
43384	1	1
47823	1	1
395401	1	1
1691774	1	1
2047773	1	1
1982615	1	1
119313	1	1
1011650	1	1
4240560	1	1
43691	1	1
2168417	1	1
190277	1	1
20118055	1	1
5837	1	1
1724185	1	1
74551	1	1
5278744	1	1
105910	1	1
5705639	1	1
959	1	1
77002	3	2
1089460	1	1
1475881	1	1
1044	3	3
1613117	1	1
907213	1	1
239989	1	1
32096	1	1
2044	1	1
99450	1	1
13199	1	1
24691	1	1
83690	1	1
137347	1	1
77215	1	1
22833	1	1
125973	1	1
969340	1	1
416809	1	1
157099	1	1
107208	1	1
589737	1	1
31641	1	1
590919	1	1
21114	1	1
122572	1	1
256691	1	1
94522	1	1
89960	2	2
49664	1	1
215414	1	1
7067	1	1
57650	1	1
24224	1	1
67633	1	1
36419	1	1
391579	1	1
31491	1	1
15421	1	1
3091	1	1
1366427	1	1
10176	1	1
9148	1	1
233425	1	1
373756	1	1
1291107	1	1
182826	1	1
125313	1	1
286441	1	1
6278077	1	1
30048	1	1
212354	1	1
120984	1	1
627687	1	1
1826043	1	1
364262	1	1
53515	1	1
143437	1	1
26440	1	1
1249704	1	1
27408	1	1
135022	1	1
438440	1	1
75691	1	1
3501344	1	1
836	2	2
134934	1	1
649957	1	1
51714	2	1
116474	1	1
4334	1	1
32867	1	1
51573	1	1
734000	1	1
100060	1	1
16423	1	1
140308	1	1
222358	1	1
17463	1	1
4211704	1	1
870140	1	1
196932	1	1
615247	1	1
194003	1	1
20092	1	1
69982	1	1
223379	1	1
225048	1	1
237183	2	1
76856	1	1
11446	1	1
519061	1	1
50477	1	1
159344	1	1
364530	1	1
190464	1	1
474073	1	1
187261	2	1
1146301	1	1
55506	1	1
1779	1	1
76297	1	1
75382	2	2
444270	1	1
399035	1	1
369956	1	1
3134877	1	1
596	1	1
92532	2	2
223798	1	1
3011971	1	1
597	1	1
82609	1	1
481528	1	1
120563	1	1
697888	1	1
817693	1	1
15801124	1	1
3074	1	1
383637	1	1
623661	1	1
1519342	1	1
266090	1	1
30500	1	1
203529	1	1
507637	1	1
140031	1	1
1526561	1	1
138255	1	1
543677	1	1
186652	1	1
1698243	1	1
13613	1	1
526757	1	1
580978	1	1
1803570	1	1
868327	1	1
2949913	1	1
6005	1	1
67989	1	1
259712	1	1
131015	1	1
330835	1	1
444370	1	1
2543524	1	1
120802	1	1
16836	1	1
722837	1	1
151457	1	1
793472	1	1
139752	1	1
754379	1	1
4205599	1	1
124377	1	1
71124	1	1
184930	1	1
550082	1	1
484204	1	1
56092	1	1
557797	1	1
14082157	1	1
1839	1	1
832248	1	1
680111	1	1
199607	1	1
208360	1	1
928	1	1
75375	1	1
66665	1	1
50157	1	1
50109	1	1
126607	1	1
124536	2	2
2678649	1	1
428371	1	1
653036	1	1
4604	1	1
80194	1	1
221185	1	1
764899	1	1
5038	1	1
35493	1	1
910771	1	1
1389575	1	1
66009	1	1
57336	1	1
425602	1	1
16784	2	2
1532154	1	1
384399	1	1
27547	1	1
278244	1	1
792109	1	1
130055	1	1
83986	1	1
124725	1	1
325561	1	1
925698	1	1
407662	1	1
101490	1	1
64126	1	1
125102	1	1
93385	1	1
268539	1	1
60557	1	1
2081251	1	1
30377	1	1
309712	1	1
2069975	1	1
322852	1	1
1772850	1	1
810888	1	1
20912	2	2
93197	1	1
837413	1	1
164529	1	1
19769	1	1
430996	1	1
476405	1	1
68166	1	1
25482	1	1
32933	1	1
222341	1	1
472786	1	1
159028	1	1
276668	1	1
4105019	1	1
463012	1	1
33210	1	1
334318	1	1
1762581	1	1
1010304	1	1
163047	1	1
404236	1	1
1935721	1	1
68652	1	1
81821	1	1
169702	1	1
253603	1	1
1888499	1	1
102037	1	1
396529	1	1
156773	1	1
794873	1	1
93389	1	1
4410588	1	1
2614120	1	1
292974	1	1
16013397	1	1
2931	1	1
576679	1	1
840256	1	1
30072	1	1
147479	1	1
294190	1	1
260286	1	1
269426	1	1
159305	1	1
697880	1	1
167939	1	1
22876	1	1
137676	1	1
257597	1	1
22637	1	1
80039	1	1
64927	1	1
388161	1	1
972573	1	1
1097827	1	1
820739	1	1
89676	1	1
3894454	1	1
57977	2	2
18447	2	2
420578	1	1
71623	1	1
86355	1	1
115935	1	1
3415529	1	1
14172	1	1
75010	1	1
858918	1	1
71093	1	1
31913	1	1
251797	1	1
413926	1	1
334867	1	1
892290	1	1
160651	1	1
254177	1	1
728684	1	1
657526	1	1
622212	1	1
46452	1	1
60137	1	1
107426	1	1
41574	1	1
866464	1	1
1115360	1	1
821341	1	1
181994	1	1
478015	1	1
419961	1	1
365731	1	1
49088	1	1
43003	2	2
1118042	1	1
140948	1	1
158266	1	1
261492	1	1
